Day,Month,Year,Hour,Minute,Second,LON,LAT,DISTANCE_KM,SIGNAL,MULTIPLICITY,AXIS,ECCENTRICITY,ELLIPSE,CHISQR
3,7,2020,12,58,49.087138,-111.196,39.488,153.2403,-18.0,0,0,0,16,0
3,7,2020,12,58,49.087138,-111.196,39.488,153.2403,-18.0,0,0,0,16,0
3,7,2020,12,59,34.465669,-111.206,39.505,151.1674,-19.0,0,0,0,44,0
3,7,2020,12,59,34.465669,-111.206,39.505,151.1674,-19.0,0,0,0,44,0
3,7,2020,13,0,37.152897,-111.182,39.509,151.5609,-10.0,0,0,0,74,0
3,7,2020,13,0,37.152897,-111.182,39.509,151.5609,-10.0,0,0,0,74,0
3,7,2020,13,0,37.195563,-111.202,39.501,151.7094,-22.0,0,0,0,56,0
3,7,2020,13,0,37.195563,-111.202,39.501,151.7094,-22.0,0,0,0,56,0
3,7,2020,13,1,26.135033,-111.2,39.503,151.5705,-12.0,0,0,0,27,0
3,7,2020,13,1,26.135033,-111.2,39.503,151.5705,-12.0,0,0,0,27,0
3,7,2020,13,1,26.180908,-111.199,39.503,151.6036,-8.0,0,0,0,90,0
3,7,2020,13,1,26.180908,-111.199,39.503,151.6036,-8.0,0,0,0,90,0
3,7,2020,13,1,26.237875,-111.2,39.504,151.468,-11.0,0,0,0,92,0
3,7,2020,13,1,26.237875,-111.2,39.504,151.468,-11.0,0,0,0,92,0
3,7,2020,13,6,27.482873,-111.06,39.654,141.8042,-12.0,0,0,0,19,0
3,7,2020,13,6,27.482873,-111.06,39.654,141.8042,-12.0,0,0,0,19,0
3,7,2020,13,8,50.215116,-110.984,39.692,141.5739,-21.0,0,0,0,5,0
3,7,2020,13,8,50.215116,-110.984,39.692,141.5739,-21.0,0,0,0,5,0
3,7,2020,13,11,56.434571,-111.499,38.859,213.8094,-16.0,0,0,9,69,0
3,7,2020,13,11,56.434571,-111.499,38.859,213.8094,-16.0,0,0,9,69,0
3,7,2020,13,11,56.587727,-111.508,38.838,215.9945,-20.0,0,0,0,57,0
